Time [s],Packet ID,MOSI,MISO
0.0050758500,0,0xFF,0x00
0.0050869000,0,0xFF,0x21
0.0050979000,0,0xFF,0xAC
0.0051089500,0,0xFF,0x4B
0.0051200000,0,0xFF,0x00
0.0051310000,0,0xFF,0x00
0.0051420500,0,0xFF,0x00
0.0051530500,0,0xFF,0x80
0.0051641000,0,0xFF,0x01
0.0051751500,0,0xFF,0x01
0.0051861500,0,0xFF,0x00
0.0051972000,0,0xFF,0x0B
0.0052082500,0,0xFF,0x01
0.0052192500,0,0xFF,0xFF
0.0052303000,0,0xFF,0xFF
0.0052413000,0,0xFF,0x40
0.0052523500,0,0xFF,0x00
0.0052634000,0,0xFF,0x00
0.0052744000,0,0xFF,0x00
0.0052854500,0,0xFF,0xC0
0.0052965000,0,0xFF,0xB7
0.0053075000,0,0xFF,0x9E
0.0053185500,0,0xFF,0x03
0.0053295500,0,0xFF,0x00
0.0053406000,0,0xFF,0x00
0.0053516500,0,0xFF,0x00
0.0053626500,0,0xFF,0x00
0.0053737000,0,0xFF,0x00
0.0053847500,0,0xFF,0x00
0.0053957500,0,0xFF,0x00
0.0054068000,0,0xFF,0x00
0.0054178000,0,0xFF,0x00
0.0054288500,0,0xFF,0x00
0.0054399000,0,0xFF,0x00
0.0054509000,0,0xFF,0x00
0.0054619500,0,0xFF,0x00
0.0054729500,0,0xFF,0x00
0.0054840000,0,0xFF,0x00
0.0054950000,0,0xFF,0x00
0.0055060500,0,0xFF,0x00
0.0055171000,0,0xFF,0x00
0.0055281000,0,0xFF,0x00
0.0055391000,0,0xFF,0x00
0.0055501500,0,0xFF,0x00
0.0055611500,0,0xFF,0x00
0.0055722000,0,0xFF,0x00
0.0055832000,0,0xFF,0x00
0.0055942500,0,0xFF,0x00
0.0056052500,0,0xFF,0x00
0.0056163000,0,0xFF,0x00
0.0056273000,0,0xFF,0x00
0.0056383500,0,0xFF,0x00
0.0056493500,0,0xFF,0x00
0.0056604000,0,0xFF,0x00
